,SampleID,Env,Region,Contribution
C010,,Senior,Italy,0.35475218
C010,,Young,Italy,0.6452479
C012,,Senior,Italy,0.29237044
C012,,Young,Italy,0.70762956
C021,,Senior,Italy,0.6680028
C021,,Young,Italy,0.3319972
C042,,Senior,Italy,0.14239642
C042,,Young,Italy,0.85760355
C052,,Senior,Italy,0.66793066
C052,,Young,Italy,0.3320693
S010,,Senior,Italy,0.12573291
S010,,Young,Italy,0.87426704
S020,,Senior,Italy,0.66762125
S020,,Young,Italy,0.33237875
S030,,Senior,Italy,0.12025756
S030,,Young,Italy,0.87974244
S050,,Senior,Italy,0.12394894
S050,,Young,Italy,0.87605107
S080,,Senior,Italy,0.6680028
S080,,Young,Italy,0.3319972
S100,,Senior,Italy,0.43351004
S100,,Young,Italy,0.56649
S110,,Senior,Italy,0.12016358
S110,,Young,Italy,0.87983644
S120,,Senior,Italy,0.67687434
S120,,Young,Italy,0.3231256
S130,,Senior,Italy,0.13862254
S130,,Young,Italy,0.8613775
S150,,Senior,Italy,0.12004772
S150,,Young,Italy,0.8799523
S180,,Senior,Italy,0.67556
S180,,Young,Italy,0.32444003
S200,,Senior,Italy,0.12283118
S200,,Young,Italy,0.8771688
S210,,Senior,Italy,0.13395569
S210,,Young,Italy,0.8660443
S220,,Senior,Italy,0.12058058
S220,,Young,Italy,0.87941945
S240,,Senior,Italy,0.120944925
S240,,Young,Italy,0.8790551
S260,,Senior,Italy,0.29121715
S260,,Young,Italy,0.70878285
S280,,Senior,Italy,0.6678085
S280,,Young,Italy,0.33219156
S290,,Senior,Italy,0.6401267
S290,,Young,Italy,0.35987324
S320,,Senior,Italy,0.2706187
S320,,Young,Italy,0.72938126
S330,,Senior,Italy,0.6676663
S330,,Young,Italy,0.33233368
SRR3679961,,Senior,Sichuan,0.17848565
SRR3679961,,Young,Sichuan,0.82151437
SRR3679980,,Senior,Sichuan,0.6680028
SRR3679980,,Young,Sichuan,0.3319972
SRR5602010,,Senior,Jiangsu,0.67994404
SRR5602010,,Young,Jiangsu,0.32005596
SRR5602016,,Senior,Jiangsu,0.65990126
SRR5602016,,Young,Jiangsu,0.3400988
SRR5602092,,Senior,Jiangsu,0.6495513
SRR5602092,,Young,Jiangsu,0.3504487
SRR5602119,,Senior,Jiangsu,0.50156415
