,root:Elder,root:Young
SRR5602230,0.5284188,0.47158122
SRR3680016,0.26984596,0.73015404
SRR5602306,0.33212107,0.6678789
SRR3679985,0.028621387,0.9713786
SRR5602226,0.5683928,0.4316072
SRR5602202,0.5222377,0.47776228
SRR5602183,0.5598827,0.44011727
SRR3679946,0.12584405,0.874156
SRR5602143,0.052650705,0.94734925
SRR5602080,0.5665508,0.4334492
SRR5602098,0.3005295,0.69947046
SRR3679987,0.10282404,0.89717597
SRR5602310,0.08262299,0.917377
SRR5602347,0.552639,0.447361
SRR3680043,0.34711584,0.6528841
SRR5602005,0.028621372,0.9713786
K100,0.38851064,0.61148936
SRR5602186,0.049989898,0.95001006
SRR5602180,0.5664231,0.43357688
SRR5602154,0.5606481,0.43935192
SRR5602031,0.5214515,0.4785485
SRR3679989,0.27562866,0.7243713
SRR5602275,0.32954657,0.6704534
SRR3680085,0.567715,0.43228504
C011,0.32283878,0.6771613
SRR5602023,0.5698307,0.43016928
K108,0.520745,0.479255
SRR3679962,0.4321723,0.5678277
SRR5602245,0.04749327,0.9525068
SRR3679994,0.3257894,0.6742106
SRR3680074,0.30236906,0.697631
SRR5602323,0.55335027,0.44664973
SRR5602232,0.43128192,0.56871814
SRR5602166,0.54982966,0.4501703
SRR5602320,0.20562159,0.79437846
SRR5602223,0.25477174,0.74522823
SRR5602175,0.5227902,0.47720984
SRR3680063,0.29334375,0.7066562
SRR3679991,0.29566285,0.7043371
SRR3679971,0.28959775,0.7104023
SRR5601996,0.028621372,0.9713786
SRR5602247,0.5200727,0.47992736
SRR5602270,0.3126667,0.6873333
SRR5602203,0.568068,0.431932
SRR3680017,0.27785438,0.7221456
SRR5602123,0.5528794,0.4471206
SRR5602142,0.5693576,0.43064237
SRR5602148,0.5192091,0.48079094
SRR5602279,0.02938631,0.97061366
SRR5602318,0.30045596,0.6995441
SRR5602285,0.08747865,0.91252136
SRR5602214,0.5222171,0.47778288
SRR5602012,0.57016456,0.42983538
SRR5602157,0.5493109,0.45068917
SRR5601941,0.1781008,0.8218992
