,root:Elder,root:Young
K113,0.18895428,0.81104577
SRR5602038,0.6225198,0.3774802
SRR5602278,0.6235003,0.37649968
SRR3680016,0.16663395,0.8333661
SRR5602147,0.62305343,0.3769465
SRR5602008,0.6336645,0.36633542
SRR3679985,0.106896035,0.893104
SRR3680045,0.22215365,0.7778464
SRR5602173,0.35799047,0.6420095
SRR3680084,0.18510361,0.8148964
SRR5602080,0.63213164,0.36786836
SRR5602273,0.107426,0.892574
SRR5602021,0.60796875,0.39203125
SRR5602196,0.61795855,0.38204148
SRR5602184,0.3317988,0.66820115
SRR3680031,0.5756553,0.4243447
SRR5602130,0.12729423,0.8727057
SRR5601942,0.5890425,0.4109575
SRR5602005,0.62367374,0.3763263
K100,0.6231758,0.37682417
SRR5610011,0.60886186,0.39113814
SRR5602116,0.106896035,0.893104
SRR5602185,0.62350875,0.3764913
SRR3679970,0.5170043,0.4829957
SRR5602063,0.6232348,0.3767652
SRR5602122,0.2697548,0.73024523
SRR5602275,0.40781483,0.5921852
SRR5602058,0.57137203,0.42862788
SRR5602035,0.5623637,0.4376363
C048,0.62393117,0.37606883
SRR3679940,0.19617021,0.8038298
SRR5602169,0.106896035,0.893104
SRR3680068,0.61763835,0.38236162
SRR5602232,0.5569971,0.4430029
SRR5601928,0.61630636,0.38369367
SRR5602223,0.117860466,0.88213956
SRR5601933,0.4917379,0.50826204
SRR3680063,0.60656166,0.3934383
SRR3680086,0.61732906,0.38267097
SRR3679945,0.57938457,0.4206155
SRR5602330,0.6278382,0.37216184
SRR5602027,0.5662601,0.43373984
SRR5602231,0.6261294,0.3738706
SRR3680049,0.62367374,0.3763263
SRR3680070,0.5051147,0.49488536
SRR5602176,0.6316077,0.36839226
SRR5602252,0.6177362,0.38226384
SRR5602157,0.59646416,0.40353584
SRR5601986,0.106896035,0.893104
SRR5602029,0.6213354,0.37866464
SRR5602337,0.63453835,0.36546162
SRR5602315,0.15522252,0.84477746
SRR5602264,0.6211207,0.37887925
SRR3680002,0.6143395,0.3856605
SRR5602165,0.6221432,0.37785682
