,SampleID,Env,Region,Contribution
C011,,Senior,Italy,0.16703078
C011,,Young,Italy,0.8329692
C018,,Senior,Italy,0.5122725
C018,,Young,Italy,0.48772755
K119,,Senior,Italy,0.12485211
K119,,Young,Italy,0.8751478
K301,,Senior,Italy,0.36701545
K301,,Young,Italy,0.6329846
SRR3679970,,Senior,Sichuan,0.5523628
SRR3679970,,Young,Sichuan,0.44763714
SRR3679974,,Senior,Sichuan,0.5484322
SRR3679974,,Young,Sichuan,0.4515679
SRR3679977,,Senior,Sichuan,0.26416627
SRR3679977,,Young,Sichuan,0.73583376
SRR3679987,,Senior,Sichuan,0.10130255
SRR3679987,,Young,Sichuan,0.89869744
SRR3679988,,Senior,Sichuan,0.5340729
SRR3679988,,Young,Sichuan,0.46592712
SRR3679991,,Senior,Sichuan,0.27617183
SRR3679991,,Young,Sichuan,0.72382814
SRR3679996,,Senior,Sichuan,0.5598869
SRR3679996,,Young,Sichuan,0.4401131
SRR3680028,,Senior,Sichuan,0.38044012
SRR3680028,,Young,Sichuan,0.6195599
SRR3680035,,Senior,Sichuan,0.31447977
SRR3680035,,Young,Sichuan,0.68552023
SRR3680053,,Senior,Sichuan,0.5146001
SRR3680053,,Young,Sichuan,0.4854
SRR3680084,,Senior,Sichuan,0.3618658
SRR3680084,,Young,Sichuan,0.63813424
SRR3680093,,Senior,Sichuan,0.16467093
SRR3680093,,Young,Sichuan,0.8353291
SRR5601933,,Senior,Jiangsu,0.062995896
SRR5601933,,Young,Jiangsu,0.9370041
SRR5601934,,Senior,Jiangsu,0.43217072
SRR5601934,,Young,Jiangsu,0.5678293
SRR5601981,,Senior,Jiangsu,0.26904428
SRR5601981,,Young,Jiangsu,0.73095566
SRR5601993,,Senior,Jiangsu,0.30680165
SRR5601993,,Young,Jiangsu,0.6931983
SRR5602011,,Senior,Jiangsu,0.27940866
SRR5602011,,Young,Jiangsu,0.7205913
SRR5602014,,Senior,Jiangsu,0.2730085
SRR5602014,,Young,Jiangsu,0.7269915
SRR5602034,,Senior,Jiangsu,0.31553063
SRR5602034,,Young,Jiangsu,0.68446934
SRR5602101,,Senior,Jiangsu,0.028621433
SRR5602101,,Young,Jiangsu,0.9713786
SRR5602116,,Senior,Jiangsu,0.028621433
SRR5602116,,Young,Jiangsu,0.9713786
SRR5602148,,Senior,Jiangsu,0.4440365
SRR5602148,,Young,Jiangsu,0.55596346
SRR5602153,,Senior,Jiangsu,0.37681457
SRR5602153,,Young,Jiangsu,0.6231854
SRR5602175,,Senior,Jiangsu,0.08827873
SRR5602175,,Young,Jiangsu,0.9117213
SRR5602178,,Senior,Jiangsu,0.038195595
SRR5602178,,Young,Jiangsu,0.9618044
SRR5602184,,Senior,Jiangsu,0.3274746
SRR5602184,,Young,Jiangsu,0.67252535
SRR5602187,,Senior,Jiangsu,0.037191898
SRR5602187,,Young,Jiangsu,0.9628081
SRR5602194,,Senior,Jiangsu,0.5014091
SRR5602194,,Young,Jiangsu,0.49859086
SRR5602198,,Senior,Jiangsu,0.56804186
SRR5602198,,Young,Jiangsu,0.43195817
SRR5602199,,Senior,Jiangsu,0.058224913
SRR5602199,,Young,Jiangsu,0.9417751
SRR5602205,,Senior,Jiangsu,0.2803077
SRR5602205,,Young,Jiangsu,0.7196923
SRR5602218,,Senior,Jiangsu,0.51869416
SRR5602218,,Young,Jiangsu,0.48130584
SRR5602225,,Senior,Jiangsu,0.43433043
SRR5602225,,Young,Jiangsu,0.56566966
SRR5602231,,Senior,Jiangsu,0.5179699
SRR5602231,,Young,Jiangsu,0.48203006
SRR5602232,,Senior,Jiangsu,0.4768971
SRR5602232,,Young,Jiangsu,0.523103
SRR5602250,,Senior,Jiangsu,0.5083209
SRR5602250,,Young,Jiangsu,0.49167904
SRR5602261,,Senior,Jiangsu,0.29727477
SRR5602261,,Young,Jiangsu,0.70272523
SRR5602262,,Senior,Jiangsu,0.40215465
SRR5602262,,Young,Jiangsu,0.5978454
SRR5602270,,Senior,Jiangsu,0.36057785
SRR5602270,,Young,Jiangsu,0.6394221
SRR5602275,,Senior,Jiangsu,0.31113878
SRR5602275,,Young,Jiangsu,0.6888612
SRR5602280,,Senior,Jiangsu,0.03581271
SRR5602280,,Young,Jiangsu,0.9641873
SRR5602281,,Senior,Jiangsu,0.4121631
SRR5602281,,Young,Jiangsu,0.58783686
SRR5602299,,Senior,Jiangsu,0.40660456
SRR5602299,,Young,Jiangsu,0.5933954
SRR5602320,,Senior,Jiangsu,0.23739016
SRR5602320,,Young,Jiangsu,0.7626098
SRR5602321,,Senior,Jiangsu,0.5592127
SRR5602321,,Young,Jiangsu,0.44078732
SRR5602328,,Senior,Jiangsu,0.41778353
SRR5602328,,Young,Jiangsu,0.58221644
SRR5602336,,Senior,Jiangsu,0.32736665
SRR5602336,,Young,Jiangsu,0.6726334
SRR5602337,,Senior,Jiangsu,0.5111144
SRR5602337,,Young,Jiangsu,0.4888856
SRR5602354,,Senior,Jiangsu,0.5477657
SRR5602354,,Young,Jiangsu,0.45223442
SRR5609970,,Senior,Jiangsu,0.19324534
