,SampleID,Env,Region,Contribution
C011,,Senior,Italy,0.2170433
C011,,Young,Italy,0.78295666
C018,,Senior,Italy,0.6648667
C018,,Young,Italy,0.3351334
K119,,Senior,Italy,0.1270952
K119,,Young,Italy,0.8729048
K301,,Senior,Italy,0.17153579
K301,,Young,Italy,0.8284642
SRR3679970,,Senior,Sichuan,0.6495019
SRR3679970,,Young,Sichuan,0.3504981
SRR3679974,,Senior,Sichuan,0.6252362
SRR3679974,,Young,Sichuan,0.37476376
SRR3679977,,Senior,Sichuan,0.6518815
SRR3679977,,Young,Sichuan,0.34811854
SRR3679987,,Senior,Sichuan,0.16124314
SRR3679987,,Young,Sichuan,0.83875686
SRR3679988,,Senior,Sichuan,0.6767705
SRR3679988,,Young,Sichuan,0.32322946
SRR3679991,,Senior,Sichuan,0.59794044
SRR3679991,,Young,Sichuan,0.40205953
SRR3679996,,Senior,Sichuan,0.6672478
SRR3679996,,Young,Sichuan,0.33275217
SRR3680028,,Senior,Sichuan,0.1300501
SRR3680028,,Young,Sichuan,0.86994994
SRR3680035,,Senior,Sichuan,0.33656785
SRR3680035,,Young,Sichuan,0.6634322
SRR3680053,,Senior,Sichuan,0.66226584
SRR3680053,,Young,Sichuan,0.33773416
SRR3680084,,Senior,Sichuan,0.14741975
SRR3680084,,Young,Sichuan,0.85258025
SRR3680093,,Senior,Sichuan,0.12018067
SRR3680093,,Young,Sichuan,0.8798194
SRR5601933,,Senior,Jiangsu,0.16733508
SRR5601933,,Young,Jiangsu,0.83266497
SRR5601934,,Senior,Jiangsu,0.6680028
SRR5601934,,Young,Jiangsu,0.3319972
SRR5601981,,Senior,Jiangsu,0.4359318
SRR5601981,,Young,Jiangsu,0.5640682
SRR5601993,,Senior,Jiangsu,0.63643765
SRR5601993,,Young,Jiangsu,0.36356232
SRR5602011,,Senior,Jiangsu,0.6580773
SRR5602011,,Young,Jiangsu,0.3419227
SRR5602014,,Senior,Jiangsu,0.57479966
SRR5602014,,Young,Jiangsu,0.4252003
SRR5602034,,Senior,Jiangsu,0.6519361
SRR5602034,,Young,Jiangsu,0.34806386
SRR5602101,,Senior,Jiangsu,0.6680028
SRR5602101,,Young,Jiangsu,0.3319972
SRR5602116,,Senior,Jiangsu,0.6680028
SRR5602116,,Young,Jiangsu,0.3319972
SRR5602148,,Senior,Jiangsu,0.14030835
SRR5602148,,Young,Jiangsu,0.8596916
SRR5602153,,Senior,Jiangsu,0.3020729
SRR5602153,,Young,Jiangsu,0.6979271
SRR5602175,,Senior,Jiangsu,0.6680028
SRR5602175,,Young,Jiangsu,0.3319972
SRR5602178,,Senior,Jiangsu,0.12949115
SRR5602178,,Young,Jiangsu,0.87050885
SRR5602184,,Senior,Jiangsu,0.2829834
SRR5602184,,Young,Jiangsu,0.7170166
SRR5602187,,Senior,Jiangsu,0.1255217
SRR5602187,,Young,Jiangsu,0.8744783
SRR5602194,,Senior,Jiangsu,0.6680028
SRR5602194,,Young,Jiangsu,0.3319972
SRR5602198,,Senior,Jiangsu,0.6805603
SRR5602198,,Young,Jiangsu,0.3194397
SRR5602199,,Senior,Jiangsu,0.12234633
SRR5602199,,Young,Jiangsu,0.8776536
SRR5602205,,Senior,Jiangsu,0.5049006
SRR5602205,,Young,Jiangsu,0.49509946
SRR5602218,,Senior,Jiangsu,0.55565816
SRR5602218,,Young,Jiangsu,0.44434178
SRR5602225,,Senior,Jiangsu,0.6680028
SRR5602225,,Young,Jiangsu,0.3319972
SRR5602231,,Senior,Jiangsu,0.67423564
SRR5602231,,Young,Jiangsu,0.3257644
SRR5602232,,Senior,Jiangsu,0.57331645
SRR5602232,,Young,Jiangsu,0.42668357
SRR5602250,,Senior,Jiangsu,0.66779345
SRR5602250,,Young,Jiangsu,0.3322066
SRR5602261,,Senior,Jiangsu,0.2556847
SRR5602261,,Young,Jiangsu,0.7443153
SRR5602262,,Senior,Jiangsu,0.52807754
SRR5602262,,Young,Jiangsu,0.47192246
SRR5602270,,Senior,Jiangsu,0.28175548
SRR5602270,,Young,Jiangsu,0.71824455
SRR5602275,,Senior,Jiangsu,0.376812
SRR5602275,,Young,Jiangsu,0.62318796
SRR5602280,,Senior,Jiangsu,0.11998831
SRR5602280,,Young,Jiangsu,0.88001174
SRR5602281,,Senior,Jiangsu,0.39923865
SRR5602281,,Young,Jiangsu,0.60076135
SRR5602299,,Senior,Jiangsu,0.13752484
SRR5602299,,Young,Jiangsu,0.8624752
SRR5602320,,Senior,Jiangsu,0.13580932
SRR5602320,,Young,Jiangsu,0.86419064
SRR5602321,,Senior,Jiangsu,0.67165095
SRR5602321,,Young,Jiangsu,0.32834908
SRR5602328,,Senior,Jiangsu,0.64896077
SRR5602328,,Young,Jiangsu,0.3510393
SRR5602336,,Senior,Jiangsu,0.6468068
SRR5602336,,Young,Jiangsu,0.3531932
SRR5602337,,Senior,Jiangsu,0.682173
SRR5602337,,Young,Jiangsu,0.31782702
SRR5602354,,Senior,Jiangsu,0.66729003
SRR5602354,,Young,Jiangsu,0.33270997
SRR5609970,,Senior,Jiangsu,0.6788303
SRR5609970,,Young,Jiangsu,0.3211696
SRR5610014,,Senior,Jiangsu,0.67028713
SRR5610014,,Young,Jiangsu,0.32971287
C007,,Senior,Italy,0.40238807
C007,,Young,Italy,0.5976119
C054,,Senior,Italy,0.109438635
C054,,Young,Italy,0.89056134
SRR3679946,,Senior,Sichuan,0.15312874
SRR3679946,,Young,Sichuan,0.84687126
SRR3679965,,Senior,Sichuan,0.6392415
SRR3679965,,Young,Sichuan,0.3607585
SRR3679967,,Senior,Sichuan,0.6033835
SRR3679967,,Young,Sichuan,0.39661652
SRR3679968,,Senior,Sichuan,0.6382801
SRR3679968,,Young,Sichuan,0.3617199
SRR3679970,,Senior,Sichuan,0.63513243
SRR3679970,,Young,Sichuan,0.3648676
SRR3679987,,Senior,Sichuan,0.10250179
SRR3679987,,Young,Sichuan,0.8974982
SRR3680007,,Senior,Sichuan,0.6293217
SRR3680007,,Young,Sichuan,0.37067828
SRR3680079,,Senior,Sichuan,0.63399655
SRR3680079,,Young,Sichuan,0.36600345
SRR3680080,,Senior,Sichuan,0.6370836
SRR3680080,,Young,Sichuan,0.3629164
SRR5601926,,Senior,Jiangsu,0.48096415
SRR5601926,,Young,Jiangsu,0.5190359
SRR5601928,,Senior,Jiangsu,0.6316948
SRR5601928,,Young,Jiangsu,0.3683052
SRR5601959,,Senior,Jiangsu,0.10380279
SRR5601959,,Young,Jiangsu,0.89619714
SRR5601967,,Senior,Jiangsu,0.15847564
SRR5601967,,Young,Jiangsu,0.8415244
SRR5601985,,Senior,Jiangsu,0.23191369
SRR5601985,,Young,Jiangsu,0.7680863
SRR5601993,,Senior,Jiangsu,0.27516943
SRR5601993,,Young,Jiangsu,0.7248305
SRR5602011,,Senior,Jiangsu,0.4852584
SRR5602011,,Young,Jiangsu,0.5147416
SRR5602015,,Senior,Jiangsu,0.62909096
SRR5602015,,Young,Jiangsu,0.370909
SRR5602023,,Senior,Jiangsu,0.62107724
SRR5602023,,Young,Jiangsu,0.3789228
SRR5602030,,Senior,Jiangsu,0.62931776
SRR5602030,,Young,Jiangsu,0.37068227
SRR5602093,,Senior,Jiangsu,0.53579694
SRR5602093,,Young,Jiangsu,0.46420312
SRR5602096,,Senior,Jiangsu,0.29575586
SRR5602096,,Young,Jiangsu,0.70424414
SRR5602098,,Senior,Jiangsu,0.35396323
SRR5602098,,Young,Jiangsu,0.6460368
SRR5602099,,Senior,Jiangsu,0.6365545
SRR5602099,,Young,Jiangsu,0.3634455
SRR5602118,,Senior,Jiangsu,0.120252505
SRR5602118,,Young,Jiangsu,0.8797475
SRR5602123,,Senior,Jiangsu,0.6381438
SRR5602123,,Young,Jiangsu,0.36185625
SRR5602133,,Senior,Jiangsu,0.63927966
SRR5602133,,Young,Jiangsu,0.36072034
SRR5602142,,Senior,Jiangsu,0.63833153
SRR5602142,,Young,Jiangsu,0.36166847
SRR5602154,,Senior,Jiangsu,0.6157778
SRR5602154,,Young,Jiangsu,0.38422218
SRR5602157,,Senior,Jiangsu,0.63224834
SRR5602157,,Young,Jiangsu,0.36775166
SRR5602158,,Senior,Jiangsu,0.4928339
SRR5602158,,Young,Jiangsu,0.50716615
SRR5602166,,Senior,Jiangsu,0.5895325
SRR5602166,,Young,Jiangsu,0.41046742
SRR5602173,,Senior,Jiangsu,0.55327827
SRR5602173,,Young,Jiangsu,0.44672173
SRR5602177,,Senior,Jiangsu,0.62932444
SRR5602177,,Young,Jiangsu,0.3706755
SRR5602180,,Senior,Jiangsu,0.6340766
SRR5602180,,Young,Jiangsu,0.36592343
